,CIK,AUM,positionsNumber,portfolio_turnover,portfolio_duration,top_10_holdings,yield_from_last_report,yield_from_1_year,yield_from_3_year
155,1421097,4.7,346.3,0.47,0.03,0.2,0.05,0.11,0.1
156,1050442,4.69,87.11,0.05,0.02,0.38,0.02,0.05,0.0
157,743127,4.68,680.9,0.06,0.02,0.18,0.04,0.01,-0.05
158,1484150,4.61,15.16,0.01,0.26,0.98,0.02,0.24,0.39
159,1162870,4.61,9.95,0.19,0.08,0.99,-0.03,-0.09,-0.12
160,1503174,4.54,23.55,0.14,0.1,0.88,0.08,0.13,0.09
161,1221362,4.49,449.06,5.74,0.02,0.21,-0.43,-0.41,0.14
162,1086483,4.48,545.9,0.09,0.02,0.2,0.03,0.07,0.09
163,1761013,4.48,987.4,0.14,0.04,0.65,0.14,0.19,0.0
164,1425738,4.39,90.75,0.15,0.03,0.43,0.11,0.43,0.36
165,1512173,4.33,247.89,0.87,0.03,0.34,0.01,0.14,0.07
166,1303159,4.31,35.0,0.1,0.1,0.86,0.55,0.26,0.35
167,1410830,4.25,20.7,0.08,0.09,0.8,0.06,0.28,0.47
168,1256071,4.2,103.21,0.11,0.05,0.55,0.06,0.08,0.05
169,1448574,4.19,280.55,0.51,0.03,0.39,0.05,0.23,0.02
170,1352851,4.15,376.0,0.33,0.05,0.59,0.71,4.07,0.72
171,1519964,4.14,238.0,0.36,0.03,0.26,2.38,0.17,0.17
172,1109147,4.14,131.3,0.12,0.04,0.45,0.05,0.14,0.09
173,1736225,4.13,1321.9,0.44,0.03,0.36,0.08,0.68,0.0
174,1541617,4.11,26.53,0.37,0.07,0.93,0.02,0.23,0.58
175,922439,4.09,602.2,0.05,0.02,0.21,0.02,-0.04,-0.12
176,1569064,4.08,45.55,0.33,0.04,0.6,0.04,0.17,0.14
177,1546190,4.06,17.4,0.08,0.13,0.81,0.01,-0.04,-0.07
178,1316580,3.93,61.95,0.39,0.07,0.69,0.08,0.36,0.46
179,822581,3.79,1292.35,0.08,0.01,0.15,0.03,0.05,0.03
180,1094749,3.75,113.45,0.23,0.04,0.66,0.04,0.17,0.08
181,1611613,3.73,42.5,0.27,0.03,0.59,0.06,0.34,0.17
182,1665241,3.63,1215.24,0.46,0.01,0.13,0.1,0.61,1.07
183,1396835,3.61,59.88,0.38,0.03,0.51,-0.01,-0.06,-0.07
184,1517137,3.56,20.4,0.15,0.08,0.87,0.03,0.04,-0.03
185,895213,3.45,201.0,0.13,0.02,0.38,0.02,1.02,3.17
186,1388312,3.42,510.35,0.43,0.01,0.18,0.04,0.2,0.28
187,938206,3.42,461.15,0.31,0.02,0.25,0.06,0.17,0.22
188,923093,3.36,1167.05,0.46,0.12,0.4,0.0,0.02,-0.11
189,1163744,3.35,129.8,0.05,0.04,0.3,0.05,0.26,0.48
190,1009258,3.18,106.42,0.18,0.02,0.37,0.06,0.23,0.28
191,1512171,3.18,14.35,0.08,0.13,0.92,0.02,0.08,0.08
192,1446114,3.17,1852.33,0.54,0.03,0.12,0.09,0.23,0.08
193,1326234,3.16,187.8,0.07,0.05,0.5,0.04,0.26,0.5
194,1789779,3.15,81.5,0.39,0.02,0.34,0.07,0.14,0.0
195,700529,3.15,146.95,0.3,0.04,0.25,0.03,0.06,0.06
196,1454027,3.15,1061.79,0.42,0.02,0.26,0.09,0.54,1.26
197,1319998,3.14,39.26,0.22,0.04,0.54,0.08,0.21,0.26
198,1362535,3.07,148.32,0.08,0.03,0.29,0.04,-0.01,-0.01
199,1358706,3.06,19.1,0.1,0.07,0.82,0.03,0.09,0.11
200,1784547,2.95,201.67,0.36,0.01,0.25,0.04,0.28,0.0
201,1784260,2.93,42.8,0.04,0.15,0.93,0.04,0.26,0.52
202,1332632,2.88,132.1,1.86,0.04,0.46,1.06,0.84,0.05
203,1568788,2.86,24.95,0.27,0.04,0.57,0.09,0.32,0.49
204,1656735,2.86,21.61,0.04,0.09,0.66,0.12,0.53,0.81
205,1453072,2.84,213.9,0.26,0.11,0.66,0.07,15.85,0.0
206,1055966,2.8,89.3,0.15,0.04,0.57,0.06,0.12,0.1
207,1015086,2.8,345.95,0.04,0.02,0.26,0.03,0.08,0.11
208,1610880,2.73,741.05,0.47,0.03,0.32,0.13,0.21,-0.06
209,1135778,2.7,101.89,0.2,0.04,0.4,0.08,0.13,0.07
210,1346824,2.7,40.06,0.12,0.06,0.7,0.05,0.5,1.01
211,1505183,2.65,13.68,0.16,0.11,0.91,0.04,0.14,0.17
212,1595725,2.63,141.15,0.09,0.02,0.28,0.04,0.21,0.28
213,1665198,2.63,251.9,0.21,0.03,0.37,0.06,0.17,0.32
214,1633313,2.61,43.5,0.15,0.07,0.67,0.11,0.61,1.28
215,1609098,2.58,15.0,0.15,0.12,0.86,0.04,0.07,0.05
216,1537530,2.5,21.95,0.09,0.09,0.78,0.14,0.77,2.71
217,1080628,2.41,541.05,0.13,0.02,0.22,0.02,0.27,0.66
218,1493215,2.41,62.88,0.27,0.02,0.57,0.12,0.49,0.83
219,1706766,2.39,679.86,0.5,0.01,0.16,0.12,0.4,0.17
220,1080171,2.34,101.95,0.29,0.05,0.7,0.04,0.35,0.12
221,1777813,2.3,42.83,0.25,0.02,0.57,0.47,2.35,0.0
222,1040197,2.24,530.05,0.14,0.02,0.27,0.05,0.21,0.35
223,1525234,2.13,30.55,0.45,0.02,0.61,0.07,0.25,0.15
224,1582090,2.09,13.35,0.24,0.06,0.91,0.04,0.08,-0.12
225,1569709,2.04,64.44,0.17,0.06,0.82,0.22,0.84,0.86
226,1602189,2.01,24.2,0.14,0.07,0.83,0.08,0.54,1.81
227,1599383,2.0,8.0,0.16,0.22,0.97,0.12,0.53,1.09
228,1627436,2.0,23.11,0.12,0.08,0.83,0.09,0.29,0.6
229,1600285,1.93,13.4,0.18,0.08,0.88,0.04,0.61,2.5
230,1578299,1.9,102.33,0.39,0.05,0.64,0.07,0.33,0.51
231,1646247,1.89,392.8,0.12,0.04,0.71,0.03,0.25,0.0
232,1791827,1.88,67.0,0.3,0.01,0.43,0.1,0.55,0.0
233,1504744,1.85,322.45,0.07,0.05,0.71,0.02,0.2,0.33
234,1388805,1.8,30.22,0.13,0.06,0.68,0.03,0.14,0.13
235,1569532,1.76,27.45,0.16,0.04,0.81,0.05,1.04,1.88
236,1387508,1.75,1590.65,0.46,0.03,0.3,0.06,0.24,0.41
237,1346554,1.74,150.05,0.38,0.02,0.5,0.04,0.22,0.38
238,1698246,1.74,590.71,0.02,0.02,0.21,-0.0,0.34,0.64
239,1601086,1.72,76.78,0.31,0.03,0.45,-0.24,-0.95,-2.09
240,1583977,1.7,74.45,0.21,0.03,0.47,0.08,0.37,0.81
241,1675884,1.65,47.86,0.2,0.08,0.86,0.07,0.84,0.74
242,1175523,1.59,15.85,0.19,0.21,0.95,0.06,0.88,0.55
243,1730574,1.52,268.5,0.42,0.02,0.44,0.06,1.0,1.42
244,1680964,1.48,16.11,0.25,0.09,0.81,0.12,0.64,1.43
245,1357550,1.44,270.21,0.46,0.02,0.45,0.04,0.3,0.22
246,1076809,1.37,195.15,0.48,0.02,0.46,0.0,0.32,0.29
247,1654344,1.36,25.5,0.06,0.04,0.5,0.1,1.33,0.0
248,1721508,1.35,98.4,0.38,0.04,0.46,0.05,0.36,0.0
249,1539436,1.31,10.7,0.07,0.2,0.97,0.03,0.43,1.23
250,1539919,1.27,164.47,0.44,0.02,0.39,0.11,0.23,0.14
251,1590144,1.15,153.27,0.49,0.03,0.37,0.2,0.97,1.46
252,1197853,0.75,3.32,0.03,0.58,1.0,0.62,2.48,4.93
253,1054587,0.75,52.47,0.25,0.18,0.96,9.65,5.11,0.88
